missing_pct,k,hidden_ratings,recon_MAE,recon_RMSE,target_pairs_used,pred_MAE,pred_RMSE
10,20,312208,0.5864,0.7692,6,0.2203,0.2917
30,20,936624,0.6069,0.7915,6,0.2313,0.3097
50,20,1561040,0.6327,0.8211,6,0.256,0.321
70,20,2185456,0.6621,0.8549,6,0.3581,0.4591
