course_title,level,num_subscribers,platform,price,num_reviews,subject,course_rating,course_organization,category,engagement_score,rating,num_subscribers_scaled,price_scaled,num_reviews_scaled
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,All Levels,8797,Udemy,45.0,449.0,Business Finance,,,Business Finance,2.2900781979102383,1.1173126957553863,0.0035188,0.225,0.016359992712698123
Mastering High Probability Iron Condor Options Trading,All Levels,1030,Udemy,200.0,11.0,Business Finance,,,Business Finance,0.17725180134218602,1.0090799897845957,0.000412,1.0,0.00040080160320641277
The Complete Short Course on Ethereum,All Levels,1041,Udemy,200.0,12.0,Business Finance,,,Business Finance,0.18107414797954546,1.0092757952328766,0.0004164,1.0,0.000437238112588814
Options Trading Stocks: Proven Toolbox For Financial Success,Intermediate Level,7884,Udemy,195.0,118.0,Business Finance,,,Business Finance,1.430648167399277,1.0732871014397085,0.0031536,0.975,0.004299508107123338
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Beginner Level,16900,Udemy,195.0,2476.0,Business Finance,,,Business Finance,7.926738529996742,1.4060590884409854,0.0067599999999999995,0.975,0.09021679723082528
"Introduction to Finance, Accounting, Modeling and Valuation",All Levels,11441,Udemy,200.0,1118.0,Business Finance,,,Business Finance,4.145912108224747,1.2123805755736057,0.0045763999999999996,1.0,0.0407360174895245
Beginner to Pro in Excel: Financial Modeling and Valuation,All Levels,22257,Udemy,195.0,2697.0,Business Finance,,,Business Finance,9.206694652647657,1.4716267635246623,0.008902799999999999,0.975,0.09826926580433594
The Complete Investment Banking Course 2017,All Levels,8575,Udemy,195.0,809.0,Business Finance,,,Business Finance,3.0440861961591756,1.1559378881075177,0.00343,0.975,0.02947713609036254
The Complete Financial Analyst Course 2017,All Levels,24481,Udemy,195.0,2347.0,Business Finance,,,Business Finance,8.772328965571754,1.4493757287167617,0.0097924,0.975,0.08551648752049552
Python for Finance: Investment Fundamentals & Data Analytics,All Levels,3811,Udemy,195.0,278.0,Business Finance,,,Business Finance,1.174614685552716,1.0601714017284642,0.0015244,0.975,0.010129349608307523
Financial Modeling for Startups & Small Businesses,Beginner Level,4991,Udemy,195.0,137.0,Business Finance,,,Business Finance,1.0418767405239764,1.0533717011005288,0.0019963999999999997,0.975,0.004991801785388959
Options Trading - How to Win with Weekly Options,Intermediate Level,7489,Udemy,115.0,1190.0,Business Finance,,,Business Finance,3.7154915736576775,1.1903316371292265,0.0029955999999999997,0.5750000000000001,0.04335944616505738
Black Algo Trading: Build Your Trading Robot,All Levels,20195,Udemy,200.0,1113.0,Business Finance,,,Business Finance,5.437063907722028,1.278521766021453,0.008078,1.0,0.04055383494261249
Accounting & Financial Statement Analysis: Complete Training,All Levels,10042,Udemy,150.0,594.0,Business Finance,,,Business Finance,2.7922589488686844,1.143037659079852,0.0040168,0.75,0.021643286573146292
Cryptocurrency Trading: Complete Guide To Trading Altcoins,All Levels,367,Udemy,95.0,42.0,Business Finance,,,Business Finance,0.1464081199445995,1.0074999758728118,0.0001468,0.47500000000000003,0.0015303333940608489
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,All Levels,10603,Udemy,200.0,872.0,Business Finance,,,Business Finance,3.483463885162319,1.1784456702429777,0.0042412,1.0,0.03177263618145382
Three Steps Trading - Live Trading - Real Account,All Levels,1197,Udemy,190.0,11.0,Business Finance,,,Business Finance,0.20209162538103725,1.0103524470844145,0.0004788,0.9500000000000001,0.00040080160320641277
Option Trading for Rookies:  Understand Options Completely,All Levels,2893,Udemy,150.0,65.0,Business Finance,,,Business Finance,0.5724114341626024,1.0293226355694312,0.0011572,0.75,0.0023683731098560756
